ID AVG WORKFLOW PLATFORM PIPELINE CORES FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28159978 4 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 177.092 214.34 0.173779 241.681 0.267247
28159978 5 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 183.813 225.436 0.184632 246.531 0.254404
28159978 6 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 182.266 220.248 0.172451 226.52 0.195364
28159978 7 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 182.184 222.027 0.179451 226.885 0.197019
28159978 8 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 179.168 219.776 0.184768 231.01 0.224413
28159978 9 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 173.195 208.92 0.170999 234.595 0.26173
28159978 10 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 177.945 216.066 0.176428 221.99 0.198409
28159978 11 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 168.928 201.922 0.1634 208.748 0.190758
28159978 12 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 164.333 194.205 0.153816 204.495 0.196395
28159978 13 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 167.998 200.322 0.161362 204.14 0.177047
28159978 14 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 165.737 197.046 0.158893 214.927 0.228869
28159978 15 swarp-0.dax cori.xml 1 1 48 1227.47 0.117647 2.32143 167.79 201.149 0.16584 218.145 0.230831
28159943 1 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9758 113.257 0.647035 167.706 0.761632
28159943 2 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9751 114.608 0.651201 121.497 0.670978
28159943 3 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9754 116.091 0.655656 132.751 0.69887
28159943 4 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9752 115.579 0.654131 121.516 0.671031
28159943 5 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9752 114.859 0.651963 130.748 0.694257
28159943 6 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9755 116.137 0.655789 122.669 0.67412
28159943 7 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9747 115.209 0.653024 134.251 0.702238
28159943 8 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9752 114.327 0.650343 128.466 0.688828
28159943 9 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.975 114.179 0.649893 139.52 0.713483
28159943 10 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9751 327.438 0.877916 353.675 0.886972
28159943 11 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9748 112.474 0.644585 130.389 0.693419
28159943 12 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9749 114.935 0.652196 131.414 0.695809
28159943 13 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9747 117.285 0.659167 124.752 0.679565
28159943 14 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9748 115.28 0.653239 135.931 0.705919
28159943 15 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 39.9753 114.369 0.650471 137.38 0.709016
28159995 1 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0382 215.759 0.814431 241.997 0.834551
28159995 2 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0327 204.689 0.804422 211.651 0.810855
28159995 3 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0346 208.544 0.808028 221.962 0.819633
28159995 4 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0246 192.169 0.791722 235.82 0.830274
28159995 5 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0296 197.993 0.797823 212.14 0.811306
28159995 6 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0313 202.28 0.802099 227.333 0.823909
28159995 7 swarp-0.dax cori.xml 1 32 48 1227.47 0.117647 2.32143 40.0218 186.26 0.785129 198.41 0.798287
